Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
A Ashok|1|4|0|28|1|28|7|24|0|0|New Zealand
A Athanaze|||||||||||West Indies
A Dananjaya|33|116.5|1|965|30|32.1666666666667|8.25962910128388|23.3666666666667|0|0|Sri Lanka
A Flintoff|7|25|0|161|5|32.2|6.44|30|0|0|England
A Martin|1|3|0|20|1|20|6.66666666666667|18|0|0|West Indies
A Mishra|10|38|1|240|16|15|6.31578947368421|14.25|0|0|India
A Nehra|27|98|2|758|34|22.2941176470588|7.73469387755102|17.2941176470588|0|0|India
A Nel|2|8|0|42|2|21|5.25|24|0|0|South Africa
A Nortje|35|121.5|0|858|46|18.6521739130435|7.04240766073871|15.8913043478261|3|0|South Africa
A Shahzad|3|11|0|97|3|32.3333333333333|8.81818181818182|22|0|0|England
A Symonds|12|30.5|0|277|8|34.625|8.98378378378378|23.125|0|0|Australia
A Zampa|81|293.5|1|2134|96|22.2291666666667|7.26262053318208|18.3645833333333|1|1|Australia
AA Noffke|2|7.3|1|41|4|10.25|5.46666666666667|11.25|0|0|Australia
AAP Atkinson|3|8.5|0|84|6|14|9.50943396226415|8.83333333333333|1|0|England
AB Agarkar|3|10.3|1|85|3|28.3333333333333|8.09523809523809|21|0|0|India
AB Barath|||||||||||West Indies
AB Dinda|9|30|1|245|17|14.4117647058824|8.16666666666667|10.5882352941176|1|0|India
AB de Villiers|||||||||||South Africa
AC Agar|47|165.4|1|1073|48|22.3541666666667|6.47686116700201|20.7083333333333|0|2|Australia
AC Gilchrist|||||||||||Australia
AC Thomas|1|4|0|25|3|8.33333333333333|6.25|8|0|0|South Africa
AC Voges|1|2|0|5|2|2.5|2.5|6|0|0|Australia
ACL Richards|||||||||||West Indies
AD Hales|||||||||||England
AD Mascarenhas|14|42|0|309|12|25.75|7.35714285714286|21|0|0|England
AD Mathews|71|192.5|4|1369|45|30.4222222222222|7.09939498703544|25.7111111111111|0|0|Sri Lanka
AD Russell|66|180.2|0|1696|52|32.6153846153846|9.40480591497227|20.8076923076923|0|0|West Indies
ADS Fletcher|||||||||||West Indies
AF Milne|51|180.5|3|1524|61|24.9836065573771|8.42764976958525|17.7868852459016|2|1|New Zealand
AG Prince|||||||||||South Africa
AJ Finch|2|2|0|27|0|Inf|13.5|Inf|0|0|Australia
AJ Hall|2|8|0|60|3|20|7.5|16|0|0|South Africa
AJ Hosein|49|174|0|1305|45|29|7.5|23.2|1|1|West Indies
AJ McKay|2|5.4|0|31|2|15.5|5.47058823529412|17|0|0|New Zealand
AJ Redmond|1|2.5|0|24|2|12|8.47058823529412|8.5|0|0|New Zealand
AJ Strauss|||||||||||England
AJ Turner|6|13|0|82|4|20.5|6.30769230769231|19.5|0|0|Australia
AJ Tye|31|113.5|1|997|47|21.2127659574468|8.75841874084919|14.531914893617|1|0|Australia
AK Kitchen|3|6|0|46|2|23|7.66666666666667|18|0|0|New Zealand
AK Markram|18|37|2|306|10|30.6|8.27027027027027|22.2|0|0|South Africa
AK Perera|1|1|0|17|0|Inf|17|Inf|0|0|Sri Lanka
AL Phehlukwayo|39|124.4|0|1112|50|22.24|8.91978609625669|14.96|1|0|South Africa
AM Ellis|4|10|0|105|2|52.5|10.5|30|0|0|New Zealand
AM Fernando|3|10|0|113|2|56.5|11.3|30|0|0|Sri Lanka
AM Hardie|6|19|1|175|4|43.75|9.21052631578947|28.5|0|0|Australia
AM McCarthy|1|2|0|12|0|Inf|6|Inf|0|0|West Indies
AM Phangiso|16|57|0|443|20|22.15|7.7719298245614|17.1|0|0|South Africa
AM Rahane|||||||||||India
AN Cook|||||||||||England
AN Petersen|||||||||||South Africa
AP Devcich|4|12|0|80|2|40|6.66666666666667|36|0|0|New Zealand
AR Adams|4|12.5|0|105|3|35|8.18181818181818|25.6666666666667|0|0|New Zealand
AR Nurse|13|40|0|318|8|39.75|7.95|30|0|0|West Indies
AR Patel|52|166.1|1|1200|51|23.5294117647059|7.22166499498496|19.5490196078431|0|0|India
AS Joseph|24|91.3|0|791|39|20.2820512820513|8.6448087431694|14.0769230769231|1|1|West Indies
AT Carey|||||||||||Australia
AT Rayudu|||||||||||India
AU Rashid|104|378.2|4|2817|111|25.3783783783784|7.44581497797357|20.4504504504505|2|0|England
AY Patel|7|26|0|118|11|10.7272727272727|4.53846153846154|14.1818181818182|1|0|New Zealand
Aamer Jamal|6|16.5|0|187|2|93.5|11.1089108910891|50.5|0|0|Pakistan
Aamer Yamin|2|6|0|37|2|18.5|6.16666666666667|18|0|0|Pakistan
Abbas Afridi|9|28.5|0|264|16|16.5|9.15606936416185|10.8125|0|0|Pakistan
Abdul Razzaq|22|56.3|2|395|20|19.75|6.99115044247788|16.95|0|0|Pakistan
Abdullah Shafique|||||||||||Pakistan
Abdur Rauf|1|3|0|21|0|Inf|7|Inf|0|0|Pakistan
Abdur Razzak|33|121.4|4|838|44|19.0454545454545|6.88767123287671|16.5909090909091|1|0|BAN
Abdur Rehman|8|26|0|192|11|17.4545454545455|7.38461538461539|14.1818181818182|0|0|Pakistan
Abrar Ahmed|2|8|0|46|2|23|5.75|24|0|0|Pakistan
Abu Hider|12|36|0|330|6|55|9.16666666666667|36|0|0|BAN
Abu Jayed|3|11|0|106|4|26.5|9.63636363636364|16.5|0|0|BAN
Abul Hasan|5|14|0|148|4|37|10.5714285714286|21|0|0|BAN
Afif Hossain|22|34|1|260|12|21.6666666666667|7.64705882352941|17|0|0|BAN
Afsar Zazai|||||||||||Afghanistan
Aftab Ahmed|1|0.2|0|8|0|Inf|24|Inf|0|0|BAN
Aftab Alam|12|40.5|0|324|11|29.4545454545455|7.93469387755102|22.2727272727273|0|0|Afghanistan
Ahmed Shehzad|1|1|0|10|0|Inf|10|Inf|0|0|Pakistan
Ahsan Ali|||||||||||Pakistan
Aizaz Cheema|5|17|0|116|8|14.5|6.82352941176471|12.75|1|0|Pakistan
Al-Amin Hossain|29|102.2|0|730|43|16.9767441860465|7.13355048859935|14.2790697674419|0|0|BAN
Alok Kapali|2|5|0|35|2|17.5|7|15|0|0|BAN
Aminul Islam|10|31.2|0|238|12|19.8333333333333|7.59574468085106|15.6666666666667|0|0|BAN
Amir Hamza|33|111|2|752|30|25.0666666666667|6.77477477477478|22.2|0|0|Afghanistan
Anamul Haque|||||||||||BAN
Anwar Ali|15|44.1|0|367|10|36.7|8.30943396226415|26.5|0|0|Pakistan
Arafat Minhas|3|8|0|45|4|11.25|5.625|12|0|0|Pakistan
Arafat Sunny|10|31|0|230|12|19.1666666666667|7.41935483870968|15.5|0|0|BAN
Ariful Haque|1|1|0|13|1|13|13|6|0|0|BAN
Arshad Iqbal|3|9|0|53|4|13.25|5.88888888888889|13.5|0|0|Pakistan
Arshdeep Singh|46|157.5|2|1360|65|20.9230769230769|8.61668426610348|14.5692307692308|1|0|India
Asad Ali|2|4|0|33|0|Inf|8.25|Inf|0|0|Pakistan
Asad Shafiq|||||||||||Pakistan
Asghar Afghan|1|0.4|0|4|1|4|6|4|0|0|Afghanistan
Asif Ali|||||||||||Pakistan
Avesh Khan|19|66.2|1|618|19|32.5263157894737|9.31658291457287|20.9473684210526|1|0|India
Awais Zia|||||||||||Pakistan
Azam Khan|||||||||||Pakistan
Azmatullah Omarzai|34|94.3|0|784|26|30.1538461538462|8.2962962962963|21.8076923076923|1|0|Afghanistan
B Fernando|17|57.1|0|488|16|30.5|8.53644314868805|21.4375|0|0|Sri Lanka
B Geeves|1|3.2|0|35|2|17.5|10.5|10|0|0|Australia
B Kumar|86|298.3|10|2079|90|23.1|6.96482412060302|19.9|3|2|India
B Laughlin|3|11.5|0|118|2|59|9.97183098591549|35.5|0|0|Australia
B Lee|25|90.5|0|714|28|25.5|7.8605504587156|19.4642857142857|0|0|Australia
B Stanlake|19|70|2|544|27|20.1481481481482|7.77142857142857|15.5555555555556|1|0|Australia
BA Carse|3|8|0|66|4|16.5|8.25|12|0|0|England
BA King|||||||||||West Indies
BA Parchment|||||||||||West Indies
BA Stokes|36|102|1|856|26|32.9230769230769|8.3921568627451|23.5384615384615|0|0|England
BAW Mendis|39|147.3|5|952|66|14.4242424242424|6.45423728813559|13.4090909090909|3|2|Sri Lanka
BB McCullum|||||||||||New Zealand
BB Sran|2|8|1|41|6|6.83333333333333|5.125|8|1|0|India
BC Fortuin|20|59|1|455|18|25.2777777777778|7.71186440677966|19.6666666666667|0|0|South Africa
BE Hendricks|19|68.1|0|627|25|25.08|9.19804400977995|16.36|1|0|South Africa
BG Lister|11|36.5|0|316|11|28.7272727272727|8.57918552036199|20.0909090909091|0|0|New Zealand
BJ Diamanti|1|2|0|19|0|Inf|9.5|Inf|0|0|New Zealand
BJ Dwarshuis|3|11|0|112|5|22.4|10.1818181818182|13.2|0|0|Australia
BJ Haddin|||||||||||Australia
BJ Hodge|3|5|0|43|1|43|8.6|30|0|0|Australia
BJ Rohrer|||||||||||Australia
BJ Watling|||||||||||New Zealand
BKG Mendis|||||||||||Sri Lanka
BM Duckett|||||||||||England
BM Tickner|18|56.5|0|536|19|28.2105263157895|9.43108504398827|17.9473684210526|1|0|New Zealand
BM Wheeler|6|21.2|0|216|7|30.8571428571429|10.125|18.2857142857143|0|0|New Zealand
BMAJ Mendis|14|35|0|249|12|20.75|7.11428571428571|17.5|0|0|Sri Lanka
BOP Fernando|||||||||||Sri Lanka
BR Dunk|||||||||||Australia
BR McDermott|||||||||||Australia
BT Foakes|||||||||||England
BV Sears|15|52|0|424|19|22.3157894736842|8.15384615384615|16.421052631579|0|0|New Zealand
BW Hilfenhaus|7|26|0|161|9|17.8888888888889|6.19230769230769|17.3333333333333|0|0|Australia
Babar Azam|||||||||||Pakistan
Bilawal Bhatti|9|26|0|255|5|51|9.80769230769231|31.2|0|0|Pakistan
C Green|7|20|0|178|5|35.6|8.9|24|0|0|Australia
C Jonker|||||||||||South Africa
C Karunaratne|39|113.5|0|953|24|39.7083333333333|8.37188872620791|28.4583333333333|0|0|Sri Lanka
C Kieswetter|||||||||||England
C Munro|12|19.4|0|186|4|46.5|9.45762711864407|29.5|0|0|New Zealand
C Sakariya|1|3.4|0|34|1|34|9.27272727272727|22|0|0|India
C de Grandhomme|21|53.3|0|461|12|38.4166666666667|8.61682242990654|26.75|0|0|New Zealand
CA Ingram|||||||||||South Africa
CA Lynn|||||||||||Australia
CAK Rajitha|18|66|1|615|17|36.1764705882353|9.31818181818182|23.2941176470588|0|0|Sri Lanka
CAK Walton|||||||||||West Indies
CBRLS Kumara|25|90.4|1|755|33|22.8787878787879|8.32720588235294|16.4848484848485|0|0|Sri Lanka
CD Barnwell|4|6|0|51|1|51|8.5|36|0|0|West Indies
CD McMillan|||||||||||New Zealand
CE McConchie|9|22.2|0|163|7|23.2857142857143|7.29850746268657|19.1428571428571|0|0|New Zealand
CH Gayle|30|63.3|0|440|20|22|6.92913385826772|19.05|0|0|West Indies
CH Morris|23|83|3|697|34|20.5|8.39759036144578|14.6470588235294|1|0|South Africa
CJ Bowes|||||||||||New Zealand
CJ Boyce|7|23|0|152|8|19|6.60869565217391|17.25|0|0|Australia
CJ Dala|10|32|1|307|13|23.6153846153846|9.59375|14.7692307692308|0|0|South Africa
CJ Ferguson|||||||||||Australia
CJ Green|1|4|0|36|0|Inf|9|Inf|0|0|Australia
CJ Jordan|91|317.4|2|2781|100|27.81|8.75445960125918|19.06|3|0|England
CJ McKay|6|22.4|1|183|4|45.75|8.07352941176471|34|0|0|Australia
CK Kapugedera|||||||||||Sri Lanka
CK Langeveldt|9|33|0|241|17|14.1764705882353|7.3030303030303|11.6470588235294|1|0|South Africa
CL Cairns|2|8|0|52|1|52|6.5|48|0|0|New Zealand
CL White|5|7|0|51|1|51|7.28571428571429|42|0|0|Australia
CMW Read|||||||||||England
CP Schofield|4|12.5|0|92|4|23|7.16883116883117|19.25|0|0|England
CR Brathwaite|39|118.1|1|1013|31|32.6774193548387|8.57263751763047|22.8709677419355|0|0|West Indies
CR Woakes|33|101.5|1|822|31|26.5161290322581|8.07201309328969|19.7096774193548|0|0|England
CRD Fernando|18|63|3|464|18|25.7777777777778|7.36507936507937|21|0|0|Sri Lanka
CS Baugh|||||||||||West Indies
CS Martin|6|23|1|193|7|27.5714285714286|8.39130434782609|19.7142857142857|0|0|New Zealand
CT Bancroft|||||||||||Australia
CT Tremlett|1|4|0|45|2|22.5|11.25|12|0|0|England
CU Jayasinghe|||||||||||Sri Lanka
CV Varun|6|22.3|0|132|2|66|5.86666666666667|67.5|0|0|India
D Bishoo|7|20.1|1|137|7|19.5714285714286|6.79338842975207|17.2857142857143|1|0|West Indies
D Brevis|||||||||||South Africa
D Cleaver|||||||||||New Zealand
D Ferreira|||||||||||South Africa
D Foxcroft|||||||||||New Zealand
D Ganga|||||||||||West Indies
D Gough|2|6.5|0|49|3|16.3333333333333|7.17073170731707|13.6666666666667|0|0|England
D Madushanka|14|46|0|433|14|30.9285714285714|9.41304347826087|19.7142857142857|0|0|Sri Lanka
D Mongia|||||||||||India
D Padikkal|||||||||||India
D Paterson|8|29.5|0|265|9|29.4444444444444|8.88268156424581|19.8888888888889|1|0|South Africa
D Pretorius|27|84|0|696|35|19.8857142857143|8.28571428571429|14.4|0|1|South Africa
D Ramdin|||||||||||West Indies
DA Warner|||||||||||Australia
DAJ Bracewell|18|51.4|0|470|20|23.5|9.09677419354839|15.5|0|0|New Zealand
DAS Gunaratne|10|24.5|0|204|5|40.8|8.21476510067114|29.8|0|0|Sri Lanka
DBL Powell|5|17|0|131|2|65.5|7.70588235294118|51|0|0|West Indies
DC Drakes|10|32|0|290|6|48.3333333333333|9.0625|32|0|0|West Indies
DC Thomas|||||||||||West Indies
DE Bernard|1|4|0|17|0|Inf|4.25|Inf|0|0|West Indies
DE Bollinger|9|35|0|249|9|27.6666666666667|7.11428571428571|23.3333333333333|0|0|Australia
DG Brownlie|||||||||||New Zealand
DJ Bravo|77|250.5|0|2036|78|26.1025641025641|8.11694352159469|19.2948717948718|3|0|West Indies
DJ Hooda|8|15.5|0|76|6|12.6666666666667|4.8|15.8333333333333|1|0|India
DJ Hussey|25|60.1|1|392|19|20.6315789473684|6.51523545706371|19|0|0|Australia
DJ Malan|1|2|0|27|1|27|13.5|12|0|0|England
DJ Mitchell|11|15.5|0|164|8|20.5|10.3578947368421|11.875|0|0|New Zealand
DJ Vilas|||||||||||South Africa
DJ Willey|43|144.1|1|1180|51|23.1372549019608|8.1849710982659|16.9607843137255|1|0|England
DJM Short|9|19|0|151|3|50.3333333333333|7.94736842105263|38|0|0|Australia
DK Butler|1|3|0|22|0|Inf|7.33333333333333|Inf|0|0|West Indies
DL Chahar|25|90|2|747|31|24.0967741935484|8.3|17.4193548387097|0|1|India
DL Maddy|2|3|0|26|3|8.66666666666667|8.66666666666667|6|0|0|England
DL Vettori|34|131.1|1|748|38|19.6842105263158|5.70266836086404|20.7105263157895|1|0|New Zealand
DM Bravo|||||||||||West Indies
DM Richards|||||||||||West Indies
DM de Silva|25|47.4|0|327|16|20.4375|6.86013986013986|17.875|0|0|Sri Lanka
DO Christian|||||||||||West Indies
DP Conway|||||||||||New Zealand
DP Hyatt|||||||||||West Indies
DPMD Jayawardene|1|1|0|8|0|Inf|8|Inf|0|0|Sri Lanka
DR Briggs|6|18|0|199|5|39.8|11.0555555555556|21.6|0|0|England
DR Flynn|1|1|0|7|0|Inf|7|Inf|0|0|New Zealand
DR Martyn|||||||||||Australia
DR Sams|10|30|0|305|7|43.5714285714286|10.1666666666667|25.7142857142857|0|0|Australia
DR Smith|11|23.4|0|212|7|30.2857142857143|8.95774647887324|20.2857142857143|0|0|West Indies
DR Tuffey|3|10|0|93|3|31|9.3|20|0|0|New Zealand
DS Kulkarni|2|8|0|55|3|18.3333333333333|6.875|16|0|0|India
DS Smith|||||||||||West Indies
DSK Madushanka|2|5.1|0|62|2|31|12|15.5|0|0|Sri Lanka
DT Christian|21|46.3|0|398|13|30.6153846153846|8.55913978494624|21.4615384615385|0|0|Australia
DW Steyn|47|169.1|3|1175|64|18.359375|6.94581280788177|15.859375|2|0|South Africa
Danish Aziz|1|3|0|29|2|14.5|9.66666666666667|9|0|0|Pakistan
Darwish Rasooli|||||||||||Afghanistan
Dawlat Ahmadzai|2|4|0|46|2|23|11.5|12|0|0|Afghanistan
Dawlat Zadran|34|123.3|2|980|40|24.5|7.93522267206478|18.525|1|0|Afghanistan
Dhiman Ghosh|||||||||||BAN
E Leie|2|6|0|48|4|12|8|9|0|0|South Africa
E Lewis|||||||||||West Indies
EJG Morgan|||||||||||England
EMDY Munaweera|5|10|0|92|1|92|9.2|60|0|0|Sri Lanka
EP Thompson|1|3|1|18|1|18|6|18|0|0|New Zealand
Ebadot Hossain|4|15.1|0|140|7|20|9.23076923076923|13|0|0|BAN
Elias Sunny|7|23|1|146|9|16.2222222222222|6.34782608695652|15.3333333333333|0|1|BAN
F Behardien|3|5|0|27|3|9|5.4|10|0|0|South Africa
FA Allen|32|94.5|1|708|24|29.5|7.46572934973638|23.7083333333333|0|0|West Indies
FH Allen|||||||||||New Zealand
FH Edwards|26|74.5|0|617|20|30.85|8.24498886414254|22.45|0|0|West Indies
FL Reifer|||||||||||West Indies
Faheem Ashraf|46|128.1|1|981|36|27.25|7.65409622886866|21.3611111111111|0|0|Pakistan
