Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
Rehan Ahmed|7|24|0|228|9|25.3333333333333|9.5|16|0|0|England
Rishad Hossain|18|60|1|427|19|22.4736842105263|7.11666666666667|18.9473684210526|0|0|BAN
Robiul Islam|1|1|0|13|0|Inf|13|Inf|0|0|BAN
Rohail Nazir|||||||||||Pakistan
Rokhan Barakzai|3|10|0|75|6|12.5|7.5|10|0|0|Afghanistan
Rony Talukdar|||||||||||BAN
Rubel Hossain|27|96.3|0|912|28|32.5714285714286|9.45077720207254|20.6785714285714|0|0|BAN
Rumman Raees|8|28.5|2|220|8|27.5|7.63005780346821|21.625|0|0|Pakistan
S Aravind|1|3.4|0|44|1|44|12|22|0|0|India
S Badrinath|||||||||||India
S Chanderpaul|||||||||||West Indies
S Daniel|||||||||||Sri Lanka
S Dhawan|||||||||||India
S Dube|19|36.3|0|360|8|45|9.86301369863014|27.375|0|0|India
S Joseph|3|8|0|67|3|22.3333333333333|8.375|16|0|0|West Indies
S Kaul|3|9.4|0|84|4|21|8.68965517241379|14.5|0|0|India
S Mahmood|11|38|0|398|7|56.8571428571429|10.4736842105263|32.5714285714286|0|0|England
S Prasanna|18|50|1|359|10|35.9|7.18|30|0|0|Sri Lanka
S Qeshile|||||||||||South Africa
S Randiv|7|21|0|139|7|19.8571428571429|6.61904761904762|18|0|0|Sri Lanka
S Samarawickrama|||||||||||Sri Lanka
S Sandeep Warrier|1|3|0|23|0|Inf|7.66666666666667|Inf|0|0|India
S Sreesanth|9|34|2|288|7|41.1428571428572|8.47058823529412|29.1428571428571|0|0|India
S Tyagi|1|2|0|21|0|Inf|10.5|Inf|0|0|India
SA Abbott|15|43.5|1|399|15|26.6|9.10266159695817|17.5333333333333|1|0|Australia
SA Yadav|||||||||||India
SB Styris|21|51.3|0|349|18|19.3888888888889|6.77669902912621|17.1666666666667|0|0|New Zealand
SC Kuggeleijn|17|53.5|0|471|16|29.4375|8.74922600619195|20.1875|0|0|New Zealand
SC Meaker|2|7.5|0|70|2|35|8.93617021276596|23.5|0|0|England
SCJ Broad|55|195.3|2|1491|65|22.9384615384615|7.62659846547315|18.0461538461538|1|0|England
SD Hope|||||||||||West Indies
SD Parry|5|16|0|138|3|46|8.625|32|0|0|England
SE Bond|20|77.3|2|543|25|21.72|7.00645161290323|18.6|0|0|New Zealand
SE Findlay|||||||||||West Indies
SE Marsh|||||||||||Australia
SE Rutherford|3|7|0|72|1|72|10.2857142857143|42|0|0|West Indies
SG Borthwick|1|4|0|15|1|15|3.75|24|0|0|England
SH Johnson|5|17.3|0|160|6|26.6666666666667|9.14285714285714|17.5|0|0|Australia
SHA Rance|7|27|0|245|10|24.5|9.07407407407407|16.2|0|0|New Zealand
SHT Kandamby|||||||||||Sri Lanka
SI Mahmood|4|14|0|155|3|51.6666666666667|11.0714285714286|28|0|0|England
SI de Saram|||||||||||Sri Lanka
SJ Benn|24|84|3|606|18|33.6666666666667|7.21428571428571|28|1|0|West Indies
SJ Harmison|2|6.3|0|42|1|42|6.46153846153846|39|0|0|England
SK Raina|27|58.1|0|442|13|34|7.59885386819484|26.8461538461539|0|0|India
SL Malinga|83|299.5|1|2225|107|20.7943925233645|7.42078932740411|16.8130841121495|1|2|Sri Lanka
SM Boland|3|11|0|90|3|30|8.18181818181818|22|0|0|Australia
SM Curran|46|144.5|1|1159|49|23.6530612244898|8.00230149597238|17.734693877551|0|1|England
SM Davies|||||||||||England
SM Harwood|3|12|0|113|3|37.6666666666667|9.41666666666667|24|0|0|Australia
SM Katich|||||||||||Australia
SM Pollock|11|40.3|1|309|15|20.6|7.62962962962963|16.2|0|0|South Africa
SMA Priyanjan|||||||||||Sri Lanka
SMLD Samarakoon|1|3|0|10|1|10|3.33333333333333|18|0|0|Sri Lanka
SMSM Senanayake|23|81|0|549|25|21.96|6.77777777777778|19.44|1|0|Sri Lanka
SN Thakur|24|84.2|0|772|33|23.3939393939394|9.15415019762846|15.3333333333333|1|0|India
SNJ O'Keefe|7|19|0|149|6|24.8333333333333|7.8421052631579|19|0|0|Australia
SO Hetmyer|||||||||||West Indies
SP Fleming|||||||||||New Zealand
SP Narine|49|183.4|1|1105|52|21.25|6.01633393829401|21.1923076923077|1|0|West Indies
SPD Smith|17|48.3|1|377|17|22.1764705882353|7.77319587628866|17.1176470588235|0|0|Australia
SR Clark|9|36|0|237|13|18.2307692307692|6.58333333333333|16.6153846153846|1|0|Australia
SR Patel|15|42|0|321|7|45.8571428571429|7.64285714285714|36|0|0|England
SR Tendulkar|1|2.3|0|12|1|12|4.8|15|0|0|India
SR Watson|49|155|2|1187|48|24.7291666666667|7.65806451612903|19.375|1|0|Australia
SS Cottrell|44|153|4|1244|52|23.9230769230769|8.13071895424837|17.6538461538462|1|0|West Indies
SS Iyer|1|0.2|0|2|0|Inf|6|Inf|0|0|India
SS Pathirana|5|15.5|0|119|5|23.8|7.51578947368421|19|0|0|Sri Lanka
SSB Magala|6|20|0|226|6|37.6666666666667|11.3|20|0|0|South Africa
SSD Arachchige|1|3.3|0|26|2|13|7.42857142857143|10.5|0|0|Sri Lanka
SSJ Brooks|||||||||||West Indies
ST Finn|21|80|0|583|27|21.5925925925926|7.2875|17.7777777777778|0|0|England
ST Gabriel|2|7|0|56|3|18.6666666666667|8|14|0|0|West Indies
ST Jayasuriya|24|61.5|0|456|19|24|7.37466307277628|19.5263157894737|0|0|Sri Lanka
ST de Silva|1|1|0|10|0|Inf|10|Inf|0|0|Sri Lanka
STR Binny|3|5|0|54|1|54|10.8|30|0|0|India
SV Samson|||||||||||India
SW Tait|21|79.4|2|589|28|21.0357142857143|7.39330543933054|17.0714285714286|0|0|Australia
Saad Nasim|1|1|0|12|0|Inf|12|Inf|0|0|Pakistan
Sabbir Rahman|9|12.1|0|79|6|13.1666666666667|6.49315068493151|12.1666666666667|0|0|BAN
Saeed Ajmal|63|238.2|2|1516|85|17.8352941176471|6.36083916083916|16.8235294117647|4|0|Pakistan
Sahibzada Farhan|||||||||||Pakistan
Saif Hassan|3|5.1|0|28|0|Inf|5.41935483870968|Inf|0|0|BAN
Saim Ayub|3|5|0|44|0|Inf|8.8|Inf|0|0|Pakistan
Sajedul Islam|1|1|0|15|0|Inf|15|Inf|0|0|BAN
Salman Butt|||||||||||Pakistan
Samiullah Shinwari|38|105.4|0|688|28|24.5714285714286|6.51104100946372|22.6428571428571|1|1|Afghanistan
Sandeep Sharma|2|7|0|73|1|73|10.4285714285714|42|0|0|India
Saqlain Sajib|1|3.3|0|40|0|Inf|11.4285714285714|Inf|0|0|BAN
Sarfaraz Ahmed|||||||||||Pakistan
